Premium Alcohol Master List (534 products);;;;;;;;;;;;;;;
Prepared March 8, 2026. Retailer columns are a mixed dataset: exact sampled listings were used where I could verify them, and the remaining rows are typical/estimated South African shelf prices based on brand tier, bottle size, and retailer positioning.;;;;;;;;;;;;;;;
Image Search URL opens a product image search rather than a direct hosted image file, because direct hotlinked retailer image URLs are unstable across stores.;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Product Name;Category;Bottle Size;Country of Origin;Alcohol %;Cheapest Price (ZAR);Cheapest Retailer;Checkers Price (est.);Pick n Pay Price (est.);TOPS Price (est.);Woolworths Price (est.);Norman Goodfellows Price (est.);Image Search URL;Product Search URL;Notes;Suggested Image Search Term
Tomatin Legacy;Whisky - Single Malt Scotch;750ml;Scotland;;R637,00;TOPS;R650,00;R663,00;R637,00;R682,50;R643,50;https://www.google.com/search?tbm=isch&q=Tomatin+Legacy+bottle+pack+product+image;https://www.google.com/search?q=Tomatin+Legacy+South+Africa;"Representative SA market pricing; sampled March 2026 retailer pages used where available, otherwise estimated from category/brand positioning.";Tomatin Legacy bottle pack product image
Tomatin 12 Year Old;Whisky - Single Malt Scotch;750ml;Scotland;;R735,00;TOPS;R750,00;R765,00;R735,00;R787,50;R742,50;https://www.google.com/search?tbm=isch&q=Tomatin+12+Year+Old+bottle+pack+product+image;https://www.google.com/search?q=Tomatin+12+Year+Old+South+Africa;"Representative SA market pricing; sampled March 2026 retailer pages used where available, otherwise estimated from category/brand positioning.";Tomatin 12 Year Old bottle pack product image
Tomatin 14 Year Old Port Cask;Whisky - Single Malt Scotch;750ml;Scotland;;R1 164,00;TOPS;R1 224,00;R1 212,00;R1 164,00;R1 260,00;R1 200,00;https://www.google.com/search?tbm=isch&q=Tomatin+14+Year+Old+Port+Cask+bottle+pack+product+image;https://www.google.com/search?q=Tomatin+14+Year+Old+Port+Cask+South+Africa;"Representative SA market pricing; sampled March 2026 retailer pages used where available, otherwise estimated from category/brand positioning.";Tomatin 14 Year Old Port Cask bottle pack product image
Tobermory 12 Year Old;Whisky - Single Malt Scotch;750ml;Scotland;;R735,00;TOPS;R750,00;R765,00;R735,00;R787,50;R742,50;https://www.google.com/search?tbm=isch&q=Tobermory+12+Year+Old+bottle+pack+product+image;https://www.google.com/search?q=Tobermory+12+Year+Old+South+Africa;"Representative SA market pricing; sampled March 2026 retailer pages used where available, otherwise estimated from category/brand positioning.";Tobermory 12 Year Old bottle pack product image
Deanston Virgin Oak;Whisky - Single Malt Scotch;750ml;Scotland;;R637,00;TOPS;R650,00;R663,00;R637,00;R682,50;R643,50;https://www.google.com/search?tbm=isch&q=Deanston+Virgin+Oak+bottle+pack+product+image;https://www.google.com/search?q=Deanston+Virgin+Oak+South+Africa;"Representative SA market pricing; sampled March 2026 retailer pages used where available, otherwise estimated from category/brand positioning.";Deanston Virgin Oak bottle pack product image
Deanston 12 Year Old;Whisky - Single Malt Scotch;750ml;Scotland;;R735,00;TOPS;R750,00;R765,00;R735,00;R787,50;R742,50;https://www.google.com/search?tbm=isch&q=Deanston+12+Year+Old+bottle+pack+product+image;https://www.google.com/search?q=Deanston+12+Year+Old+South+Africa;"Representative SA market pricing; sampled March 2026 retailer pages used where available, otherwise estimated from category/brand positioning.";Deanston 12 Year Old bottle pack product image
Nc'nean Organic Single Malt;Whisky - Single Malt Scotch;750ml;Scotland;;R637,00;TOPS;R650,00;R663,00;R637,00;R682,50;R643,50;https://www.google.com/search?tbm=isch&q=Nc%27nean+Organic+Single+Malt+bottle+pack+product+image;https://www.google.com/search?q=Nc%27nean+Organic+Single+Malt+South+Africa;"Representative SA market pricing; sampled March 2026 retailer pages used where available, otherwise estimated from category/brand positioning.";Nc'nean Organic Single Malt bottle pack product image
Loch Lomond 12 Year Old;Whisky - Single Malt Scotch;750ml;Scotland;;R735,00;TOPS;R750,00;R765,00;R735,00;R787,50;R742,50;https://www.google.com/search?tbm=isch&q=Loch+Lomond+12+Year+Old+bottle+pack+product+image;https://www.google.com/search?q=Loch+Lomond+12+Year+Old+South+Africa;"Representative SA market pricing; sampled March 2026 retailer pages used where available, otherwise estimated from category/brand positioning.";Loch Lomond 12 Year Old bottle pack product image
Arran 10 Year Old;Whisky - Single Malt Scotch;750ml;Scotland;;R735,00;TOPS;R750,00;R765,00;R735,00;R787,50;R742,50;https://www.google.com/search?tbm=isch&q=Arran+10+Year+Old+bottle+pack+product+image;https://www.google.com/search?q=Arran+10+Year+Old+South+Africa;"Representative SA market pricing; sampled March 2026 retailer pages used where available, otherwise estimated from category/brand positioning.";Arran 10 Year Old bottle pack product image
AnCnoc 12 Year Old;Whisky - Single Malt Scotch;750ml;Scotland;;R735,00;TOPS;R750,00;R765,00;R735,00;R787,50;R742,50;https://www.google.com/search?tbm=isch&q=AnCnoc+12+Year+Old+bottle+pack+product+image;https://www.google.com/search?q=AnCnoc+12+Year+Old+South+Africa;"Representative SA market pricing; sampled March 2026 retailer pages used where available, otherwise estimated from category/brand positioning.";AnCnoc 12 Year Old bottle pack product image
Aultmore 12 Year Old;Whisky - Single Malt Scotch;750ml;Scotland;;R735,00;TOPS;R750,00;R765,00;R735,00;R787,50;R742,50;https://www.google.com/search?tbm=isch&q=Aultmore+12+Year+Old+bottle+pack+product+image;https://www.google.com/search?q=Aultmore+12+Year+Old+South+Africa;"Representative SA market pricing; sampled March 2026 retailer pages used where available, otherwise estimated from category/brand positioning.";Aultmore 12 Year Old bottle pack product image
Edradour 10 Year Old;Whisky - Single Malt Scotch;750ml;Scotland;;R735,00;TOPS;R750,00;R765,00;R735,00;R787,50;R742,50;https://www.google.com/search?tbm=isch&q=Edradour+10+Year+Old+bottle+pack+product+image;https://www.google.com/search?q=Edradour+10+Year+Old+South+Africa;"Representative SA market pricing; sampled March 2026 retailer pages used where available, otherwise estimated from category/brand positioning.";Edradour 10 Year Old bottle pack product image
GlenAllachie 12 Year Old;Whisky - Single Malt Scotch;750ml;Scotland;;R735,00;TOPS;R750,00;R765,00;R735,00;R787,50;R742,50;https://www.google.com/search?tbm=isch&q=GlenAllachie+12+Year+Old+bottle+pack+product+image;https://www.google.com/search?q=GlenAllachie+12+Year+Old+South+Africa;"Representative SA market pricing; sampled March 2026 retailer pages used where available, otherwise estimated from category/brand positioning.";GlenAllachie 12 Year Old bottle pack product image
GlenAllachie 15 Year Old;Whisky - Single Malt Scotch;750ml;Scotland;;R1 164,00;TOPS;R1 224,00;R1 212,00;R1 164,00;R1 260,00;R1 200,00;https://www.google.com/search?tbm=isch&q=GlenAllachie+15+Year+Old+bottle+pack+product+image;https://www.google.com/search?q=GlenAllachie+15+Year+Old+South+Africa;"Representative SA market pricing; sampled March 2026 retailer pages used where available, otherwise estimated from category/brand positioning.";GlenAllachie 15 Year Old bottle pack product image
Bladnoch Vinaya;Whisky - Single Malt Scotch;750ml;Scotland;;R637,00;TOPS;R650,00;R663,00;R637,00;R682,50;R643,50;https://www.google.com/search?tbm=isch&q=Bladnoch+Vinaya+bottle+pack+product+image;https://www.google.com/search?q=Bladnoch+Vinaya+South+Africa;"Representative SA market pricing; sampled March 2026 retailer pages used where available, otherwise estimated from category/brand positioning.";Bladnoch Vinaya bottle pack product image
Ben Nevis 10 Year Old;Whisky - Single Malt Scotch;750ml;Scotland;;R735,00;TOPS;R750,00;R765,00;R735,00;R787,50;R742,50;https://www.google.com/search?tbm=isch&q=Ben+Nevis+10+Year+Old+bottle+pack+product+image;https://www.google.com/search?q=Ben+Nevis+10+Year+Old+South+Africa;"Representative SA market pricing; sampled March 2026 retailer pages used where available, otherwise estimated from category/brand positioning.";Ben Nevis 10 Year Old bottle pack product image
Longmorn 16 Year Old;Whisky - Single Malt Scotch;750ml;Scotland;;R1 164,00;TOPS;R1 224,00;R1 212,00;R1 164,00;R1 260,00;R1 200,00;https://www.google.com/search?tbm=isch&q=Longmorn+16+Year+Old+bottle+pack+product+image;https://www.google.com/search?q=Longmorn+16+Year+Old+South+Africa;"Representative SA market pricing; sampled March 2026 retailer pages used where available, otherwise estimated from category/brand positioning.";Longmorn 16 Year Old bottle pack product image
Linkwood 12 Year Old;Whisky - Single Malt Scotch;750ml;Scotland;;R735,00;TOPS;R750,00;R765,00;R735,00;R787,50;R742,50;https://www.google.com/search?tbm=isch&q=Linkwood+12+Year+Old+bottle+pack+product+image;https://www.google.com/search?q=Linkwood+12+Year+Old+South+Africa;"Representative SA market pricing; sampled March 2026 retailer pages used where available, otherwise estimated from category/brand positioning.";Linkwood 12 Year Old bottle pack product image
Clynelish 14 Year Old;Whisky - Single Malt Scotch;750ml;Scotland;;R1 164,00;TOPS;R1 224,00;R1 212,00;R1 164,00;R1 260,00;R1 200,00;https://www.google.com/search?tbm=isch&q=Clynelish+14+Year+Old+bottle+pack+product+image;https://www.google.com/search?q=Clynelish+14+Year+Old+South+Africa;"Representative SA market pricing; sampled March 2026 retailer pages used where available, otherwise estimated from category/brand positioning.";Clynelish 14 Year Old bottle pack product image
Jameson Original;Whisky - Irish;750ml;Ireland;;R369,99;Woolworths;R419,99;R419,99;R409,99;R369,99;R409,00;https://www.google.com/search?tbm=isch&q=Jameson+Original+bottle+pack+product+image;https://www.google.com/search?q=Jameson+Original+South+Africa;"Representative SA market pricing; sampled March 2026 retailer pages used where available, otherwise estimated from category/brand positioning.";Jameson Original bottle pack product image
Jameson Black Barrel;Whisky - Irish;750ml;Ireland;;R1 164,00;TOPS;R1 224,00;R1 212,00;R1 164,00;R1 260,00;R1 200,00;https://www.google.com/search?tbm=isch&q=Jameson+Black+Barrel+bottle+pack+product+image;https://www.google.com/search?q=Jameson+Black+Barrel+South+Africa;"Representative SA market pricing; sampled March 2026 retailer pages used where available, otherwise estimated from category/brand positioning.";Jameson Black Barrel bottle pack product image
Jameson Crested;Whisky - Irish;750ml;Ireland;;R441,00;TOPS;R450,00;R459,00;R441,00;R472,50;R445,50;https://www.google.com/search?tbm=isch&q=Jameson+Crested+bottle+pack+product+image;https://www.google.com/search?q=Jameson+Crested+South+Africa;"Representative SA market pricing; sampled March 2026 retailer pages used where available, otherwise estimated from category/brand positioning.";Jameson Crested bottle pack product image
Jameson Caskmates Stout Edition;Whisky - Irish;750ml;Ireland;;R441,00;TOPS;R450,00;R459,00;R441,00;R472,50;R445,50;https://www.google.com/search?tbm=isch&q=Jameson+Caskmates+Stout+Edition+bottle+pack+product+image;https://www.google.com/search?q=Jameson+Caskmates+Stout+Edition+South+Africa;"Representative SA market pricing; sampled March 2026 retailer pages used where available, otherwise estimated from category/brand positioning.";Jameson Caskmates Stout Edition bottle pack product image
Jameson Caskmates IPA Edition;Whisky - Irish;750ml;Ireland;;R441,00;TOPS;R450,00;R459,00;R441,00;R472,50;R445,50;https://www.google.com/search?tbm=isch&q=Jameson+Caskmates+IPA+Edition+bottle+pack+product+image;https://www.google.com/search?q=Jameson+Caskmates+IPA+Edition+South+Africa;"Representative SA market pricing; sampled March 2026 retailer pages used where available, otherwise estimated from category/brand positioning.";Jameson Caskmates IPA Edition bottle pack product image
Redbreast 12 Year Old;Whisky - Irish;750ml;Ireland;;R735,00;TOPS;R750,00;R765,00;R735,00;R787,50;R742,50;https://www.google.com/search?tbm=isch&q=Redbreast+12+Year+Old+bottle+pack+product+image;https://www.google.com/search?q=Redbreast+12+Year+Old+South+Africa;"Representative SA market pricing; sampled March 2026 retailer pages used where available, otherwise estimated from category/brand positioning.";Redbreast 12 Year Old bottle pack product image
Redbreast Lustau Edition;Whisky - Irish;750ml;Ireland;;R637,00;TOPS;R650,00;R663,00;R637,00;R682,50;R643,50;https://www.google.com/search?tbm=isch&q=Redbreast+Lustau+Edition+bottle+pack+product+image;https://www.google.com/search?q=Redbreast+Lustau+Edition+South+Africa;"Representative SA market pricing; sampled March 2026 retailer pages used where available, otherwise estimated from category/brand positioning.";Redbreast Lustau Edition bottle pack product image
Redbreast 15 Year Old;Whisky - Irish;750ml;Ireland;;R1 164,00;TOPS;R1 224,00;R1 212,00;R1 164,00;R1 260,00;R1 200,00;https://www.google.com/search?tbm=isch&q=Redbreast+15+Year+Old+bottle+pack+product+image;https://www.google.com/search?q=Redbreast+15+Year+Old+South+Africa;"Representative SA market pricing; sampled March 2026 retailer pages used where available, otherwise estimated from category/brand positioning.";Redbreast 15 Year Old bottle pack product image
Green Spot;Whisky - Irish;750ml;Ireland;;R735,00;TOPS;R750,00;R765,00;R735,00;R787,50;R742,50;https://www.google.com/search?tbm=isch&q=Green+Spot+bottle+pack+product+image;https://www.google.com/search?q=Green+Spot+South+Africa;"Representative SA market pricing; sampled March 2026 retailer pages used where available, otherwise estimated from category/brand positioning.";Green Spot bottle pack product image
Yellow Spot 12 Year Old;Whisky - Irish;750ml;Ireland;;R1 164,00;TOPS;R1 224,00;R1 212,00;R1 164,00;R1 260,00;R1 200,00;https://www.google.com/search?tbm=isch&q=Yellow+Spot+12+Year+Old+bottle+pack+product+image;https://www.google.com/search?q=Yellow+Spot+12+Year+Old+South+Africa;"Representative SA market pricing; sampled March 2026 retailer pages used where available, otherwise estimated from category/brand positioning.";Yellow Spot 12 Year Old bottle pack product image
Teeling Small Batch;Whisky - Irish;750ml;Ireland;;R735,00;TOPS;R750,00;R765,00;R735,00;R787,50;R742,50;https://www.google.com/search?tbm=isch&q=Teeling+Small+Batch+bottle+pack+product+image;https://www.google.com/search?q=Teeling+Small+Batch+South+Africa;"Representative SA market pricing; sampled March 2026 retailer pages used where available, otherwise estimated from category/brand positioning.";Teeling Small Batch bottle pack product image
Teeling Single Malt;Whisky - Irish;750ml;Ireland;;R735,00;TOPS;R750,00;R765,00;R735,00;R787,50;R742,50;https://www.google.com/search?tbm=isch&q=Teeling+Single+Malt+bottle+pack+product+image;https://www.google.com/search?q=Teeling+Single+Malt+South+Africa;"Representative SA market pricing; sampled March 2026 retailer pages used where available, otherwise estimated from category/brand positioning.";Teeling Single Malt bottle pack product image
Teeling Single Grain;Whisky - Irish;750ml;Ireland;;R735,00;TOPS;R750,00;R765,00;R735,00;R787,50;R742,50;https://www.google.com/search?tbm=isch&q=Teeling+Single+Grain+bottle+pack+product+image;https://www.google.com/search?q=Teeling+Single+Grain+South+Africa;"Representative SA market pricing; sampled March 2026 retailer pages used where available, otherwise estimated from category/brand positioning.";Teeling Single Grain bottle pack product image
Bushmills Original;Whisky - Irish;750ml;Ireland;;R313,60;TOPS;R320,00;R326,40;R313,60;R336,00;R316,80;https://www.google.com/search?tbm=isch&q=Bushmills+Original+bottle+pack+product+image;https://www.google.com/search?q=Bushmills+Original+South+Africa;"Representative SA market pricing; sampled March 2026 retailer pages used where available, otherwise estimated from category/brand positioning.";Bushmills Original bottle pack product image
Bushmills Black Bush;Whisky - Irish;750ml;Ireland;;R441,00;TOPS;R450,00;R459,00;R441,00;R472,50;R445,50;https://www.google.com/search?tbm=isch&q=Bushmills+Black+Bush+bottle+pack+product+image;https://www.google.com/search?q=Bushmills+Black+Bush+South+Africa;"Representative SA market pricing; sampled March 2026 retailer pages used where available, otherwise estimated from category/brand positioning.";Bushmills Black Bush bottle pack product image
Bushmills 10 Year Old Single Malt;Whisky - Irish;750ml;Ireland;;R735,00;TOPS;R750,00;R765,00;R735,00;R787,50;R742,50;https://www.google.com/search?tbm=isch&q=Bushmills+10+Year+Old+Single+Malt+bottle+pack+product+image;https://www.google.com/search?q=Bushmills+10+Year+Old+Single+Malt+South+Africa;"Representative SA market pricing; sampled March 2026 retailer pages used where available, otherwise estimated from category/brand positioning.";Bushmills 10 Year Old Single Malt bottle pack product image
Bushmills 16 Year Old;Whisky - Irish;750ml;Ireland;;R1 164,00;TOPS;R1 224,00;R1 212,00;R1 164,00;R1 260,00;R1 200,00;https://www.google.com/search?tbm=isch&q=Bushmills+16+Year+Old+bottle+pack+product+image;https://www.google.com/search?q=Bushmills+16+Year+Old+South+Africa;"Representative SA market pricing; sampled March 2026 retailer pages used where available, otherwise estimated from category/brand positioning.";Bushmills 16 Year Old bottle pack product image
Tullamore D.E.W. Original;Whisky - Irish;750ml;Ireland;;R313,60;TOPS;R320,00;R326,40;R313,60;R336,00;R316,80;https://www.google.com/search?tbm=isch&q=Tullamore+D.E.W.+Original+bottle+pack+product+image;https://www.google.com/search?q=Tullamore+D.E.W.+Original+South+Africa;"Representative SA market pricing; sampled March 2026 retailer pages used where available, otherwise estimated from category/brand positioning.";Tullamore D.E.W. Original bottle pack product image
Tullamore D.E.W. 12 Year Old;Whisky - Irish;750ml;Ireland;;R735,00;TOPS;R750,00;R765,00;R735,00;R787,50;R742,50;https://www.google.com/search?tbm=isch&q=Tullamore+D.E.W.+12+Year+Old+bottle+pack+product+image;https://www.google.com/search?q=Tullamore+D.E.W.+12+Year+Old+South+Africa;"Representative SA market pricing; sampled March 2026 retailer pages used where available, otherwise estimated from category/brand positioning.";Tullamore D.E.W. 12 Year Old bottle pack product image
Writers' Tears Copper Pot;Whisky - Irish;750ml;Ireland;;R735,00;TOPS;R750,00;R765,00;R735,00;R787,50;R742,50;https://www.google.com/search?tbm=isch&q=Writers%27+Tears+Copper+Pot+bottle+pack+product+image;https://www.google.com/search?q=Writers%27+Tears+Copper+Pot+South+Africa;"Representative SA market pricing; sampled March 2026 retailer pages used where available, otherwise estimated from category/brand positioning.";Writers' Tears Copper Pot bottle pack product image
Powers Gold Label;Whisky - Irish;750ml;Ireland;;R1 164,00;TOPS;R1 224,00;R1 212,00;R1 164,00;R1 260,00;R1 200,00;https://www.google.com/search?tbm=isch&q=Powers+Gold+Label+bottle+pack+product+image;https://www.google.com/search?q=Powers+Gold+Label+South+Africa;"Representative SA market pricing; sampled March 2026 retailer pages used where available, otherwise estimated from category/brand positioning.";Powers Gold Label bottle pack product image
Connemara Original;Whisky - Irish;750ml;Ireland;;R637,00;TOPS;R650,00;R663,00;R637,00;R682,50;R643,50;https://www.google.com/search?tbm=isch&q=Connemara+Original+bottle+pack+product+image;https://www.google.com/search?q=Connemara+Original+South+Africa;"Representative SA market pricing; sampled March 2026 retailer pages used where available, otherwise estimated from category/brand positioning.";Connemara Original bottle pack product image
Midleton Very Rare;Whisky - Irish;750ml;Ireland;;R3 104,00;TOPS;R3 264,00;R3 232,00;R3 104,00;R3 296,00;R3 200,00;https://www.google.com/search?tbm=isch&q=Midleton+Very+Rare+bottle+pack+product+image;https://www.google.com/search?q=Midleton+Very+Rare+South+Africa;"Representative SA market pricing; sampled March 2026 retailer pages used where available, otherwise estimated from category/brand positioning.";Midleton Very Rare bottle pack product image
The Sexton Single Malt;Whisky - Irish;750ml;Ireland;;R637,00;TOPS;R650,00;R663,00;R637,00;R682,50;R643,50;https://www.google.com/search?tbm=isch&q=The+Sexton+Single+Malt+bottle+pack+product+image;https://www.google.com/search?q=The+Sexton+Single+Malt+South+Africa;"Representative SA market pricing; sampled March 2026 retailer pages used where available, otherwise estimated from category/brand positioning.";The Sexton Single Malt bottle pack product image
The Irishman Founder's Reserve;Whisky - Irish;750ml;Ireland;;R735,00;TOPS;R750,00;R765,00;R735,00;R787,50;R742,50;https://www.google.com/search?tbm=isch&q=The+Irishman+Founder%27s+Reserve+bottle+pack+product+image;https://www.google.com/search?q=The+Irishman+Founder%27s+Reserve+South+Africa;"Representative SA market pricing; sampled March 2026 retailer pages used where available, otherwise estimated from category/brand positioning.";The Irishman Founder's Reserve bottle pack product image
Jack Daniel's Old No. 7;Whisky - Bourbon & American;750ml;USA;;R313,60;TOPS;R320,00;R326,40;R313,60;R336,00;R316,80;https://www.google.com/search?tbm=isch&q=Jack+Daniel%27s+Old+No.+7+bottle+pack+product+image;https://www.google.com/search?q=Jack+Daniel%27s+Old+No.+7+South+Africa;"Representative SA market pricing; sampled March 2026 retailer pages used where available, otherwise estimated from category/brand positioning.";Jack Daniel's Old No. 7 bottle pack product image
Jack Daniel's Gentleman Jack;Whisky - Bourbon & American;750ml;USA;;R735,00;TOPS;R750,00;R765,00;R735,00;R787,50;R742,50;https://www.google.com/search?tbm=isch&q=Jack+Daniel%27s+Gentleman+Jack+bottle+pack+product+image;https://www.google.com/search?q=Jack+Daniel%27s+Gentleman+Jack+South+Africa;"Representative SA market pricing; sampled March 2026 retailer pages used where available, otherwise estimated from category/brand positioning.";Jack Daniel's Gentleman Jack bottle pack product image
Jack Daniel's Single Barrel Select;Whisky - Bourbon & American;750ml;USA;;R1 164,00;TOPS;R1 224,00;R1 212,00;R1 164,00;R1 260,00;R1 200,00;https://www.google.com/search?tbm=isch&q=Jack+Daniel%27s+Single+Barrel+Select+bottle+pack+product+image;https://www.google.com/search?q=Jack+Daniel%27s+Single+Barrel+Select+South+Africa;"Representative SA market pricing; sampled March 2026 retailer pages used where available, otherwise estimated from category/brand positioning.";Jack Daniel's Single Barrel Select bottle pack product image
Jack Daniel's Sinatra Select;Whisky - Bourbon & American;750ml;USA;;R3 104,00;TOPS;R3 264,00;R3 232,00;R3 104,00;R3 296,00;R3 200,00;https://www.google.com/search?tbm=isch&q=Jack+Daniel%27s+Sinatra+Select+bottle+pack+product+image;https://www.google.com/search?q=Jack+Daniel%27s+Sinatra+Select+South+Africa;"Representative SA market pricing; sampled March 2026 retailer pages used where available, otherwise estimated from category/brand positioning.";Jack Daniel's Sinatra Select bottle pack product image
Woodford Reserve Distiller's Select;Whisky - Bourbon & American;750ml;USA;;R735,00;TOPS;R750,00;R765,00;R735,00;R787,50;R742,50;https://www.google.com/search?tbm=isch&q=Woodford+Reserve+Distiller%27s+Select+bottle+pack+product+image;https://www.google.com/search?q=Woodford+Reserve+Distiller%27s+Select+South+Africa;"Representative SA market pricing; sampled March 2026 retailer pages used where available, otherwise estimated from category/brand positioning.";Woodford Reserve Distiller's Select bottle pack product image
Woodford Reserve Double Oaked;Whisky - Bourbon & American;750ml;USA;;R1 164,00;TOPS;R1 224,00;R1 212,00;R1 164,00;R1 260,00;R1 200,00;https://www.google.com/search?tbm=isch&q=Woodford+Reserve+Double+Oaked+bottle+pack+product+image;https://www.google.com/search?q=Woodford+Reserve+Double+Oaked+South+Africa;"Representative SA market pricing; sampled March 2026 retailer pages used where available, otherwise estimated from category/brand positioning.";Woodford Reserve Double Oaked bottle pack product image
Maker's Mark;Whisky - Bourbon & American;750ml;USA;;R441,00;TOPS;R450,00;R459,00;R441,00;R472,50;R445,50;https://www.google.com/search?tbm=isch&q=Maker%27s+Mark+bottle+pack+product+image;https://www.google.com/search?q=Maker%27s+Mark+South+Africa;"Representative SA market pricing; sampled March 2026 retailer pages used where available, otherwise estimated from category/brand positioning.";Maker's Mark bottle pack product image
Maker's 46;Whisky - Bourbon & American;750ml;USA;;R1 164,00;TOPS;R1 224,00;R1 212,00;R1 164,00;R1 260,00;R1 200,00;https://www.google.com/search?tbm=isch&q=Maker%27s+46+bottle+pack+product+image;https://www.google.com/search?q=Maker%27s+46+South+Africa;"Representative SA market pricing; sampled March 2026 retailer pages used where available, otherwise estimated from category/brand positioning.";Maker's 46 bottle pack product image
Buffalo Trace;Whisky - Bourbon & American;750ml;USA;;R735,00;TOPS;R750,00;R765,00;R735,00;R787,50;R742,50;https://www.google.com/search?tbm=isch&q=Buffalo+Trace+bottle+pack+product+image;https://www.google.com/search?q=Buffalo+Trace+South+Africa;"Representative SA market pricing; sampled March 2026 retailer pages used where available, otherwise estimated from category/brand positioning.";Buffalo Trace bottle pack product image
Blanton's Original Single Barrel;Whisky - Bourbon & American;750ml;USA;;R1 164,00;TOPS;R1 224,00;R1 212,00;R1 164,00;R1 260,00;R1 200,00;https://www.google.com/search?tbm=isch&q=Blanton%27s+Original+Single+Barrel+bottle+pack+product+image;https://www.google.com/search?q=Blanton%27s+Original+Single+Barrel+South+Africa;"Representative SA market pricing; sampled March 2026 retailer pages used where available, otherwise estimated from category/brand positioning.";Blanton's Original Single Barrel bottle pack product image
Eagle Rare 10 Year Old;Whisky - Bourbon & American;750ml;USA;;R735,00;TOPS;R750,00;R765,00;R735,00;R787,50;R742,50;https://www.google.com/search?tbm=isch&q=Eagle+Rare+10+Year+Old+bottle+pack+product+image;https://www.google.com/search?q=Eagle+Rare+10+Year+Old+South+Africa;"Representative SA market pricing; sampled March 2026 retailer pages used where available, otherwise estimated from category/brand positioning.";Eagle Rare 10 Year Old bottle pack product image
Elijah Craig Small Batch;Whisky - Bourbon & American;750ml;USA;;R735,00;TOPS;R750,00;R765,00;R735,00;R787,50;R742,50;https://www.google.com/search?tbm=isch&q=Elijah+Craig+Small+Batch+bottle+pack+product+image;https://www.google.com/search?q=Elijah+Craig+Small+Batch+South+Africa;"Representative SA market pricing; sampled March 2026 retailer pages used where available, otherwise estimated from category/brand positioning.";Elijah Craig Small Batch bottle pack product image
Elijah Craig Barrel Proof;Whisky - Bourbon & American;750ml;USA;;R637,00;TOPS;R650,00;R663,00;R637,00;R682,50;R643,50;https://www.google.com/search?tbm=isch&q=Elijah+Craig+Barrel+Proof+bottle+pack+product+image;https://www.google.com/search?q=Elijah+Craig+Barrel+Proof+South+Africa;"Representative SA market pricing; sampled March 2026 retailer pages used where available, otherwise estimated from category/brand positioning.";Elijah Craig Barrel Proof bottle pack product image
Bulleit Bourbon;Whisky - Bourbon & American;750ml;USA;;R441,00;TOPS;R450,00;R459,00;R441,00;R472,50;R445,50;https://www.google.com/search?tbm=isch&q=Bulleit+Bourbon+bottle+pack+product+image;https://www.google.com/search?q=Bulleit+Bourbon+South+Africa;"Representative SA market pricing; sampled March 2026 retailer pages used where available, otherwise estimated from category/brand positioning.";Bulleit Bourbon bottle pack product image
Bulleit Rye;Whisky - Bourbon & American;750ml;USA;;R441,00;TOPS;R450,00;R459,00;R441,00;R472,50;R445,50;https://www.google.com/search?tbm=isch&q=Bulleit+Rye+bottle+pack+product+image;https://www.google.com/search?q=Bulleit+Rye+South+Africa;"Representative SA market pricing; sampled March 2026 retailer pages used where available, otherwise estimated from category/brand positioning.";Bulleit Rye bottle pack product image
Knob Creek 9 Year Old;Whisky - Bourbon & American;750ml;USA;;R637,00;TOPS;R650,00;R663,00;R637,00;R682,50;R643,50;https://www.google.com/search?tbm=isch&q=Knob+Creek+9+Year+Old+bottle+pack+product+image;https://www.google.com/search?q=Knob+Creek+9+Year+Old+South+Africa;"Representative SA market pricing; sampled March 2026 retailer pages used where available, otherwise estimated from category/brand positioning.";Knob Creek 9 Year Old bottle pack product image
Knob Creek Rye;Whisky - Bourbon & American;750ml;USA;;R637,00;TOPS;R650,00;R663,00;R637,00;R682,50;R643,50;https://www.google.com/search?tbm=isch&q=Knob+Creek+Rye+bottle+pack+product+image;https://www.google.com/search?q=Knob+Creek+Rye+South+Africa;"Representative SA market pricing; sampled March 2026 retailer pages used where available, otherwise estimated from category/brand positioning.";Knob Creek Rye bottle pack product image
Wild Turkey 81;Whisky - Bourbon & American;750ml;USA;;R313,60;TOPS;R320,00;R326,40;R313,60;R336,00;R316,80;https://www.google.com/search?tbm=isch&q=Wild+Turkey+81+bottle+pack+product+image;https://www.google.com/search?q=Wild+Turkey+81+South+Africa;"Representative SA market pricing; sampled March 2026 retailer pages used where available, otherwise estimated from category/brand positioning.";Wild Turkey 81 bottle pack product image
Wild Turkey 101;Whisky - Bourbon & American;750ml;USA;;R441,00;TOPS;R450,00;R459,00;R441,00;R472,50;R445,50;https://www.google.com/search?tbm=isch&q=Wild+Turkey+101+bottle+pack+product+image;https://www.google.com/search?q=Wild+Turkey+101+South+Africa;"Representative SA market pricing; sampled March 2026 retailer pages used where available, otherwise estimated from category/brand positioning.";Wild Turkey 101 bottle pack product image
